Name,Total,Sex,Year,Frequency
BALKARAN,10,1.0,1915.0,0
BALRAJ,142,1.0,1915.0,0
BARBARA,10240,2.0,1915.0,35
BARBARA-ANN,5,2.0,1915.0,0
BARBRA,54,2.0,1915.0,0
BARNEY,5,1.0,1915.0,0
BARON,5,1.0,1915.0,0
BARRETT,18,1.0,1915.0,0
BARRIE,300,1.0,1915.0,0
BARRY,3233,1.0,1915.0,0
BART,10,1.0,1915.0,0
BARTON,23,1.0,1915.0,0
BASIL,35,1.0,1915.0,5
BAYLEE,49,2.0,1915.0,0
BEATRICE,892,2.0,1915.0,23
BEATRIX,19,2.0,1915.0,0
BEAU,200,1.0,1915.0,0
BECK,5,1.0,1915.0,0
BECKETT,131,1.0,1915.0,0
BECKHAM,28,1.0,1915.0,0
BECKY,126,2.0,1915.0,0
BELINDA,299,2.0,1915.0,0
BELLA,303,2.0,1915.0,0
BELLE,33,2.0,1915.0,0
BEN,488,1.0,1915.0,0
BENEDICT,35,1.0,1915.0,0
BENITA,21,2.0,1915.0,0
BENJAMIN,7428,1.0,1915.0,9
BENJY,5,1.0,1915.0,0
BENNETT,224,1.0,1915.0,0
BENNY,38,1.0,1915.0,0
BENOIT,5,1.0,1915.0,0
BENSON,100,1.0,1915.0,0
BENTLEY,252,1.0,1915.0,0
BERNADETTE,307,2.0,1915.0,0
BERNADINE,40,2.0,1915.0,0
BERNARD,1089,1.0,1915.0,13
BERNHARD,30,1.0,1915.0,0
BERNICE,1095,2.0,1915.0,11
BERNIE,5,1.0,1915.0,0
BERT,47,1.0,1915.0,0
BERTHA,367,2.0,1915.0,25
BERTRAM,38,1.0,1915.0,0
BERYL,210,2.0,1915.0,6
BESSIE,144,2.0,1915.0,10
BETH,137,2.0,1915.0,0
BETHANY,540,2.0,1915.0,0
BETSY,5,2.0,1915.0,0
BETTE,30,2.0,1915.0,0
BETTINA,15,2.0,1915.0,0
BETTY,2242,2.0,1915.0,8
BETTY-LOU,10,2.0,1915.0,0
BEULAH,5,2.0,1915.0,0
BEVERLEY,2181,2.0,1915.0,0
BEVERLY,2571,2.0,1915.0,0
BHUPINDER,17,1.0,1915.0,0
BIANCA,518,2.0,1915.0,0
BIKRAM,11,1.0,1915.0,0
BILAL,6,1.0,1915.0,0
BILL,193,1.0,1915.0,0
BILLIE,54,2.0,1915.0,0
BILLY,244,1.0,1915.0,0
BIRGIT,11,2.0,1915.0,0
BISHOP,10,1.0,1915.0,0
BJORN,26,1.0,1915.0,0
BLAIN,5,1.0,1915.0,0
BLAINE,454,1.0,1915.0,0
BLAIR,932,1.0,1915.0,0
BLAIR,12,2.0,1915.0,0
BLAIRE,5,2.0,1915.0,0
BLAISE,5,1.0,1915.0,0
BLAKE,1727,1.0,1915.0,0
BLAKE,40,2.0,1915.0,0
BLAKELY,22,2.0,1915.0,0
BLANCHE,88,2.0,1915.0,0
BLAYKE,5,2.0,1915.0,0
BLAZE,17,1.0,1915.0,0
BLYTHE,5,2.0,1915.0,0
BO,17,1.0,1915.0,0
BOAZ,6,1.0,1915.0,0
BOBBI,179,2.0,1915.0,0
BOBBI-JO,5,2.0,1915.0,0
BOBBIE,38,2.0,1915.0,0
BOBBY,234,1.0,1915.0,0
BODEN,5,1.0,1915.0,0
BODHI,66,1.0,1915.0,0
BONITA,546,2.0,1915.0,0
BONNIE,2600,2.0,1915.0,0
BONNY,117,2.0,1915.0,0
BOONE,5,1.0,1915.0,0
BORIS,16,1.0,1915.0,0
BOSCO,5,1.0,1915.0,0
BOSTON,16,1.0,1915.0,0
BOWEN,145,1.0,1915.0,0
BOYD,29,1.0,1915.0,0
BRAD,242,1.0,1915.0,0
